chr2	5000	7	0.1386	0.339
chr2	15000	12	0.2167	0.3219
chr2	25000	30	0.4784	0.2936
chr2	35000	14	0.2967	0.205
chr2	45000	8	0.6843	0.2027
chr2	55000	16	0.2141	0.1894
chr2	65000	8	0.7476	0.1788
chr2	75000	4	0.9887	0.1576
chr2	85000	11	0.9908	0.1723
chr2	95000	20	0.516	0.2514
chr2	105000	3	0.877	0.1728
chr2	115000	8	0.8901	0.148
chr2	125000	7	0.923	0.1921
chr2	135000	6	0.9581	0.1907
chr2	145000	12	0.9584	0.1889
chr2	155000	12	0.9425	0.2092
chr2	165000	10	0.9431	0.1796
chr2	175000	23	0.9596	0.1845
chr2	185000	14	0.9625	0.2146
chr2	195000	9	0.9715	0.172
chr2	205000	10	0.9514	0.1825
chr2	215000	13	0.938	0.1978
chr2	225000	8	0.9498	0.1832
chr2	235000	18	0.9788	0.1901
chr2	245000	5	0.9827	0.1936
chr2	255000	11	0.9577	0.2003
chr2	265000	8	0.9194	0.1847
chr2	275000	15	0.9722	0.2008
chr2	285000	6	0.9753	0.1936
chr2	295000	22	0.9735	0.2234
chr2	305000	13	0.9375	0.2295
chr2	315000	27	0.8443	0.2326
chr2	325000	14	0.9639	0.203
chr2	335000	19	0.9403	0.1995
chr2	345000	15	0.972	0.1837
chr2	355000	6	0.9623	0.1652
chr2	365000	15	0.9876	0.2111
chr2	375000	16	0.9796	0.2457
chr2	385000	10	0.9621	0.1948
chr2	395000	13	0.9676	0.1985
chr2	405000	6	0.9323	0.176
chr2	415000	27	0.9519	0.2014
chr2	425000	15	0.9629	0.1795
chr2	435000	7	0.9599	0.1667
chr2	445000	15	0.9883	0.1294
chr2	455000	10	0.9888	0.1681
chr2	465000	10	0.9816	0.1843
chr2	475000	9	0.9535	0.1974
chr2	485000	22	0.9243	0.2045
chr2	495000	13	0.9419	0.1822
chr2	505000	15	0.9729	0.1789
chr2	515000	8	0.9828	0.2116
chr2	525000	11	0.9689	0.1883
chr2	535000	12	0.9435	0.1907
chr2	545000	5	0.9588	0.1857
chr2	555000	14	0.964	0.1821
chr2	565000	16	0.9461	0.2152
chr2	575000	16	0.9474	0.1916
chr2	585000	24	0.849	0.2212
chr2	595000	14	0.9821	0.1995
chr2	605000	9	0.9627	0.1848
chr2	615000	12	0.9405	0.1988
chr2	625000	13	0.9834	0.1668
chr2	635000	7	0.9348	0.1789
chr2	645000	18	0.9532	0.2303
chr2	655000	17	0.9483	0.1878
chr2	665000	14	0.9675	0.2101
chr2	675000	19	0.9723	0.1913
chr2	685000	8	0.9618	0.1902
chr2	695000	12	0.9065	0.2084
chr2	705000	11	0.947	0.2043
chr2	715000	10	0.9462	0.169
chr2	725000	17	0.9317	0.2058
chr2	735000	10	0.9744	0.1793
chr2	745000	9	0.9568	0.1621
chr2	755000	12	0.9771	0.1891
chr2	765000	9	0.9742	0.1768
chr2	775000	6	0.9663	0.1702
chr2	785000	8	0.9919	0.1765
chr2	795000	2	0.9022	0.1813
chr2	805000	14	0.9721	0.1883
chr2	815000	4	0.9399	0.1317
chr2	825000	8	0.9361	0.1602
chr2	835000	6	0.9829	0.1529
chr2	845000	8	0.9732	0.1865
chr2	855000	4	0.9768	0.1485
chr2	865000	10	0.8263	0.1665
chr2	875000	17	0.4249	0.1901
chr2	885000	14	0.0218	0.1737
chr2	895000	9	0.3171	0.2033
chr2	905000	10	0.1554	0.2098
chr2	915000	16	0.2114	0.219
chr2	925000	26	0.3943	0.3246
chr2	935000	8	0.2151	0.3201
chr2	945000	4	0.107755565008	0.331455927908
